"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Функциональные тесты, которые проверяют ручку удаления объявлений","322","Проверяем, что созданное объявление имеет переданные поля по ручке получения объявления по id. Также проверяем, что дубликаты новостей имеют те же переданные поля, но уникальные id","tests.functional","Sun Apr 05 17:01:37 UTC 2026","passed","Sun Apr 05 17:01:37 UTC 2026","TestDeleteNotification","test_delete_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","152","Проверяем создание с отсутствующим полем или пустым/нулевым значением","tests.functional","Sun Apr 05 17:01:35 UTC 2026","passed","Sun Apr 05 17:01:35 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","153","Проверяем создание объявления с большим значением в поле","tests.functional","Sun Apr 05 17:01:36 UTC 2026","passed","Sun Apr 05 17:01:36 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","180","Проверяем создание с отсутствующим полем или пустым/нулевым значением","tests.functional","Sun Apr 05 17:01:35 UTC 2026","passed","Sun Apr 05 17:01:35 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","315","Проверяем создание объявления с разными значениями в поле name","tests.functional","Sun Apr 05 17:01:36 UTC 2026","passed","Sun Apr 05 17:01:37 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","642","Проверяем успешное создание объявления со случайными данными. Также проверяем успешное создание дубликатов объявлений","tests.functional","Sun Apr 05 17:01:35 UTC 2026","passed","Sun Apr 05 17:01:35 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","890","Проверяем создание объявления с большим значением в поле","tests.functional","Sun Apr 05 17:01:36 UTC 2026","skipped","Sun Apr 05 17:01:37 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","309","Проверяем попытку создания объявления, когда в поля подаются не ожидаемые типы значений","tests.functional","Sun Apr 05 17:01:36 UTC 2026","passed","Sun Apr 05 17:01:36 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку создания объявления","948","Проверяем успешное создание объявления со случайными данными. Также проверяем успешное создание дубликатов объявлений","tests.functional","Sun Apr 05 17:01:34 UTC 2026","passed","Sun Apr 05 17:01:35 UTC 2026","TestCreateNotification","test_create_notification","",""
"Функциональные тесты, которые проверяют ручку получения объявления по его id","464","Проверяем, что удаленное объявление невозможно получить","tests.functional","Sun Apr 05 17:01:37 UTC 2026","passed","Sun Apr 05 17:01:38 UTC 2026","TestGetNotificationById","test_get_notification_by_id","",""
